"col0","col1","col2","col3","col4","col5","col6","col7","col8","partition_0"
"Estonia","is located in the","northern hemisphere",,,,,,,"regents"
"Finland","is located in the","northern hemisphere",,,,,,,"regents"
"France","is located in the","northern hemisphere",,,,,,,"regents"
"Georgia","is located in the","northern hemisphere",,,,,,,"regents"
"Germany","is located in the","northern hemisphere",,,,,,,"regents"
"Greece","is located in the","northern hemisphere",,,,,,,"regents"
"Hungary","is located in the","northern hemisphere",,,,,,,"regents"
"Iceland","is located in the","northern hemisphere",,,,,,,"regents"
"Republic of Ireland","is located in the","northern hemisphere",,,,,,,"regents"
"Italy","is located in the","northern hemisphere",,,,,,,"regents"
"Kazakhstan","is located in the","northern hemisphere",,,,,,,"regents"
"Latvia","is located in the","northern hemisphere",,,,,,,"regents"
"Liechtenstein","is located in the","northern hemisphere",,,,,,,"regents"
"Lithuania","is located in the","northern hemisphere",,,,,,,"regents"
"Luxembourg","is located in the","northern hemisphere",,,,,,,"regents"
"Republic of Macedonia","is located in the","northern hemisphere",,,,,,,"regents"
"Malta","is located in the","northern hemisphere",,,,,,,"regents"
"Moldova","is located in the","northern hemisphere",,,,,,,"regents"
"Monaco","is located in the","northern hemisphere",,,,,,,"regents"
"Montenegro","is located in the","northern hemisphere",,,,,,,"regents"
"Netherlands","is located in the","northern hemisphere",,,,,,,"regents"
"Norway","is located in the","northern hemisphere",,,,,,,"regents"
"Poland","is located in the","northern hemisphere",,,,,,,"regents"
"Portugal","is located in the","northern hemisphere",,,,,,,"regents"
"Romania","is located in the","northern hemisphere",,,,,,,"regents"
"Russia","is located in the","northern hemisphere",,,,,,,"regents"
"San Marino","is located in the","northern hemisphere",,,,,,,"regents"
"Serbia","is located in the","northern hemisphere",,,,,,,"regents"
"Slovakia","is located in the","northern hemisphere",,,,,,,"regents"
"Slovenia","is located in the","northern hemisphere",,,,,,,"regents"
"Spain","is located in the","northern hemisphere",,,,,,,"regents"
"Sweden","is located in the","northern hemisphere",,,,,,,"regents"
"Switzerland","is located in the","northern hemisphere",,,,,,,"regents"
"Turkey","is located in the","northern hemisphere",,,,,,,"regents"
"Ukraine","is located in the","northern hemisphere",,,,,,,"regents"
"United Kingdom","is located in the","northern hemisphere",,,,,,,"regents"
"Vatican City","is located in the","northern hemisphere",,,,,,,"regents"
"Bermuda (UK)","is located in the","northern hemisphere",,,,,,,"regents"
"Canada","is located in the","northern hemisphere",,,,,,,"regents"
"Greenland (Denmark)","is located in the","northern hemisphere",,,,,,,"regents"
"Mexico","is located in the","northern hemisphere",,,,,,,"regents"
"Saint Pierre and Miquelon (France)","is located in the","northern hemisphere",,,,,,,"regents"
"United States","is located in the","northern hemisphere",,,,,,,"regents"
"Anguilla (UK)","is located in the","northern hemisphere",,,,,,,"regents"
"Antigua and Barbuda","is located in the","northern hemisphere",,,,,,,"regents"
"Aruba","is located in the","northern hemisphere",,,,,,,"regents"
"The Bahamas","is located in the","northern hemisphere",,,,,,,"regents"
"Barbados","is located in the","northern hemisphere",,,,,,,"regents"
"Bonaire (Netherlands)","is located in the","northern hemisphere",,,,,,,"regents"
"British Virgin Islands (UK)","is located in the","northern hemisphere",,,,,,,"regents"
"Cayman Islands (UK)","is located in the","northern hemisphere",,,,,,,"regents"
"Cuba","is located in the","northern hemisphere",,,,,,,"regents"
"Curaçao","is located in the","northern hemisphere",,,,,,,"regents"
"Dominica","is located in the","northern hemisphere",,,,,,,"regents"
"Dominican Republic","is located in the","northern hemisphere",,,,,,,"regents"
"Grenada","is located in the","northern hemisphere",,,,,,,"regents"
"Guadeloupe (France)","is located in the","northern hemisphere",,,,,,,"regents"
"Haiti","is located in the","northern hemisphere",,,,,,,"regents"
"Jamaica","is located in the","northern hemisphere",,,,,,,"regents"
"Martinique (France)","is located in the","northern hemisphere",,,,,,,"regents"
"Montserrat (UK)","is located in the","northern hemisphere",,,,,,,"regents"
"Navassa Island (US)","is located in the","northern hemisphere",,,,,,,"regents"
"Puerto Rico (US)","is located in the","northern hemisphere",,,,,,,"regents"
"Saba (Netherlands)","is located in the","northern hemisphere",,,,,,,"regents"
"Saint Barthélemy (France)","is located in the","northern hemisphere",,,,,,,"regents"
"Saint Kitts and Nevis","is located in the","northern hemisphere",,,,,,,"regents"
"Saint Lucia","is located in the","northern hemisphere",,,,,,,"regents"
"Saint Martin (France)","is located in the","northern hemisphere",,,,,,,"regents"
"Saint Vincent and the Grenadines","is located in the","northern hemisphere",,,,,,,"regents"
"Sint Eustatius (Netherlands)","is located in the","northern hemisphere",,,,,,,"regents"
"Sint Maarten","is located in the","northern hemisphere",,,,,,,"regents"
"Trinidad and Tobago","is located in the","northern hemisphere",,,,,,,"regents"
"Turks and Caicos Islands (UK)","is located in the","northern hemisphere",,,,,,,"regents"
"United States Virgin Islands (US)","is located in the","northern hemisphere",,,,,,,"regents"
"Belize","is located in the","northern hemisphere",,,,,,,"regents"
"Clipperton Island (France)","is located in the","northern hemisphere",,,,,,,"regents"
"Costa Rica","is located in the","northern hemisphere",,,,,,,"regents"
"El Salvador","is located in the","northern hemisphere",,,,,,,"regents"
"Guatemala","is located in the","northern hemisphere",,,,,,,"regents"
"Honduras","is located in the","northern hemisphere",,,,,,,"regents"
"Nicaragua","is located in the","northern hemisphere",,,,,,,"regents"
"Panama","is located in the","northern hemisphere",,,,,,,"regents"
"Afghanistan","is located in the","northern hemisphere",,,,,,,"regents"
"Armenia","is located in the","northern hemisphere",,,,,,,"regents"
"Azerbaijan","is located in the","northern hemisphere",,,,,,,"regents"
"Bahrain","is located in the","northern hemisphere",,,,,,,"regents"
"Bangladesh","is located in the","northern hemisphere",,,,,,,"regents"
"Bhutan","is located in the","northern hemisphere",,,,,,,"regents"
"Brunei","is located in the","northern hemisphere",,,,,,,"regents"
"Burma","is located in the","northern hemisphere",,,,,,,"regents"
"Cambodia","is located in the","northern hemisphere",,,,,,,"regents"
"China","is located in the","northern hemisphere",,,,,,,"regents"
"Cyprus","is located in the","northern hemisphere",,,,,,,"regents"
"Georgia (country)","is located in the","northern hemisphere",,,,,,,"regents"
"India","is located in the","northern hemisphere",,,,,,,"regents"
"Iran","is located in the","northern hemisphere",,,,,,,"regents"
"Iraq","is located in the","northern hemisphere",,,,,,,"regents"
"Israel","is located in the","northern hemisphere",,,,,,,"regents"
"Japan","is located in the","northern hemisphere",,,,,,,"regents"
"Jordan","is located in the","northern hemisphere",,,,,,,"regents"
"Kazakhstan","is located in the","northern hemisphere",,,,,,,"regents"
"Kuwait","is located in the","northern hemisphere",,,,,,,"regents"
"Kyrgyzstan","is located in the","northern hemisphere",,,,,,,"regents"
"Laos","is located in the","northern hemisphere",,,,,,,"regents"
"Lebanon","is located in the","northern hemisphere",,,,,,,"regents"
"Malaysia","is located in the","northern hemisphere",,,,,,,"regents"
"Maldives","is located in the","northern hemisphere",,,,,,,"regents"
"Mongolia","is located in the","northern hemisphere",,,,,,,"regents"
"Nepal","is located in the","northern hemisphere",,,,,,,"regents"
"North Korea","is located in the","northern hemisphere",,,,,,,"regents"
"Oman","is located in the","northern hemisphere",,,,,,,"regents"
"Pakistan","is located in the","northern hemisphere",,,,,,,"regents"
"State of Palestine","is located in the","northern hemisphere",,,,,,,"regents"
"Philippines","is located in the","northern hemisphere",,,,,,,"regents"
"Qatar","is located in the","northern hemisphere",,,,,,,"regents"
"Russia","is located in the","northern hemisphere",,,,,,,"regents"
"Saudi Arabia","is located in the","northern hemisphere",,,,,,,"regents"
"Singapore","is located in the","northern hemisphere",,,,,,,"regents"
"Sri Lanka","is located in the","northern hemisphere",,,,,,,"regents"
"South Korea","is located in the","northern hemisphere",,,,,,,"regents"
"Syria","is located in the","northern hemisphere",,,,,,,"regents"
"Taiwan","is located in the","northern hemisphere",,,,,,,"regents"
"Tajikistan","is located in the","northern hemisphere",,,,,,,"regents"
"Thailand","is located in the","northern hemisphere",,,,,,,"regents"
"Turkey","is located in the","northern hemisphere",,,,,,,"regents"
"Turkmenistan","is located in the","northern hemisphere",,,,,,,"regents"
"United Arab Emirates","is located in the","northern hemisphere",,,,,,,"regents"
"Uzbekistan","is located in the","northern hemisphere",,,,,,,"regents"
"Vietnam","is located in the","northern hemisphere",,,,,,,"regents"
"Yemen","is located in the","northern hemisphere",,,,,,,"regents"
" Algeria","is located in the","southern hemisphere",,,,,,,"regents"
" Angola","is located in the","southern hemisphere",,,,,,,"regents"
" Benin","is located in the","southern hemisphere",,,,,,,"regents"
" Botswana","is located in the","southern hemisphere",,,,,,,"regents"
" Burkina Faso","is located in the","southern hemisphere",,,,,,,"regents"
" Burundi","is located in the","southern hemisphere",,,,,,,"regents"
" Cameroon","is located in the","southern hemisphere",,,,,,,"regents"
" Cape Verde","is located in the","southern hemisphere",,,,,,,"regents"
" Central African Republic","is located in the","southern hemisphere",,,,,,,"regents"
" Chad","is located in the","southern hemisphere",,,,,,,"regents"
" Comoros","is located in the","southern hemisphere",,,,,,,"regents"
" Djibouti","is located in the","southern hemisphere",,,,,,,"regents"
" Egypt","is located in the","southern hemisphere",,,,,,,"regents"
" equatorial regionial Guinea","is located in the","southern hemisphere",,,,,,,"regents"
" Eritrea","is located in the","southern hemisphere",,,,,,,"regents"
" Ethiopia","is located in the","southern hemisphere",,,,,,,"regents"
" Ghana","is located in the","southern hemisphere",,,,,,,"regents"
" Guinea","is located in the","southern hemisphere",,,,,,,"regents"
" Guinea-Bissau","is located in the","southern hemisphere",,,,,,,"regents"
" Ivory Coast","is located in the","southern hemisphere",,,,,,,"regents"
" Lesotho","is located in the","southern hemisphere",,,,,,,"regents"
" Liberia","is located in the","southern hemisphere",,,,,,,"regents"
" Libya","is located in the","southern hemisphere",,,,,,,"regents"
" Madagascar","is located in the","southern hemisphere",,,,,,,"regents"
" Malawi","is located in the","southern hemisphere",,,,,,,"regents"
" Mali","is located in the","southern hemisphere",,,,,,,"regents"
" Mauritania","is located in the","southern hemisphere",,,,,,,"regents"
" Mauritius","is located in the","southern hemisphere",,,,,,,"regents"
" Morocco","is located in the","southern hemisphere",,,,,,,"regents"
" Mozambique","is located in the","southern hemisphere",,,,,,,"regents"
" Namibia","is located in the","southern hemisphere",,,,,,,"regents"
" Niger","is located in the","southern hemisphere",,,,,,,"regents"
" Nigeria","is located in the","southern hemisphere",,,,,,,"regents"
" Rwanda","is located in the","southern hemisphere",,,,,,,"regents"
" Senegal","is located in the","southern hemisphere",,,,,,,"regents"
" Seychelles","is located in the","southern hemisphere",,,,,,,"regents"
" Somalia","is located in the","southern hemisphere",,,,,,,"regents"
" South Africa","is located in the","southern hemisphere",,,,,,,"regents"
" Sudan","is located in the","southern hemisphere",,,,,,,"regents"
" Swaziland","is located in the","southern hemisphere",,,,,,,"regents"
" The Gambia","is located in the","southern hemisphere",,,,,,,"regents"
" Togo","is located in the","southern hemisphere",,,,,,,"regents"
" Tunisia","is located in the","southern hemisphere",,,,,,,"regents"
" Zambia","is located in the","southern hemisphere",,,,,,,"regents"
" Zimbabwe","is located in the","southern hemisphere",,,,,,,"regents"
"South Sudan","is located in the","southern hemisphere",,,,,,,"regents"
" Falkland Islands (UK)","is located in the","southern hemisphere",,,,,,,"regents"
" French Guiana (France)","is located in the","southern hemisphere",,,,,,,"regents"
" Guyana","is located in the","southern hemisphere",,,,,,,"regents"
"South Georgia and the South Sandwich Islands (UK)","is located in the","southern hemisphere",,,,,,,"regents"
" Suriname","is located in the","southern hemisphere",,,,,,,"regents"
" Venezuela","is located in the","southern hemisphere",,,,,,,"regents"
"Term","Type","POS (most common)","WN2.0 Name","WordNet SenseKey","WN2.0 Synset","WordNet gloss","WordNet example usage",,"auto"
"ability","?","n","ability_n1","ability%1:07:00::","104904666","the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment","",,"auto"
"able","?","adj","able_a1","able%3:00:00::","300001740","(usually followed by `to') having the necessary means or skill or know-how or authority to do something; ","able to swim; she was able to program her computer; we were at last able to buy a car; able to get a grant for the project",,"auto"
"about","?","r","about_r1","about%4:02:00::","400006660","(of quantities) imprecise but fairly close to correct; ","lasted approximately an hour; in just about a minute; he's about 30 years old; I've had about all I can stand; we meet about once a month; some forty people came; weighs around a hundred pounds; roughly $3,000; holds 3 gallons, more or less; 20 or so people were at the party",,"auto"
"above","dir","r","above_r1","above%4:02:00::","400080673","at an earlier place; ","see above",,"auto"
"absorb","act","v","absorb_v1","absorb%2:35:01::","201497173","become imbued; ","The liquids, light, and gases absorb",,"auto"
"abstract","abs","adj","abstract_a1","abstract%3:00:00::","300012085","existing only in the mind; separated from embodiment; ","abstract words like `truth' and `justice'",,"auto"
"abstraction","der","n","abstraction_n1","abstraction%1:09:00::","105515034","a concept or idea not associated with any specific instance; ","he loved her only in the abstract--not in person",,"auto"
"acceleration","att","n","acceleration_n1","acceleration%1:07:00::","104786831","an increase in speed; ","modern science caused an acceleration of cultural change",,"auto"
"access","act","n","access_n1","access%1:07:00::","104882570","the right to enter","",,"auto"
"accessing","der","","","","","","",,"auto"
"accident","abs","n","accident_n1","accident%1:11:01::","106853143","a mishap; especially one causing injury or death","",,"auto"
"accurate","val","adj","accurate_a1","accurate%3:00:00::","300023554","conforming exactly or almost exactly to fact or to a standard or performing with total accuracy; ","an accurate reproduction; the accounting was accurate; accurate measurements; an accurate scale",,"auto"
"accurately","qual","r","accurately_r1","accurately%4:02:01::","400207488","with few mistakes; ","he works very accurately",,"auto"
"acid","subst","n","acid_n1","acid%1:27:00::","113771163","any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt","",,"auto"
"acorn","bpart","n","acorn_n1","acorn%1:20:00::","111519530","fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base","",,"auto"
"acquire","act","v","get_v1","acquire%2:40:00::","202147191","come into the possession of something concrete or abstract; ","She got a lot of paintings from her uncle; They acquired a new pet; Get your results the next day; Get permission to take a few days off from work",,"auto"
"acquired","state","adj","acquired_s1","acquired%5:00:00:noninheritable:00","301267110","gotten through environmental forces; ","acquired characteristics (such as a suntan or a broken nose) cannot be passed on",,"auto"
"across","dirn","r","across_r1","across%4:02:01::","400275614","to the opposite side; ","the football field was 300 feet across",,"auto"
"act","act","v","act_v1","act%2:41:00::","202296591","perform an action, or work out or perform (an action); ","think before you act; We must move quickly; The governor should act on the new energy bill; The nanny acted quickly by grabbing the toddler and covering him with a wet towel",,"auto"
"action","nom","n","action_n1","action%1:04:02::","100032816","something done (usually as opposed to something said); ","there were stories of murders and other unnatural actions",,"auto"
"active","quality","n","active_n1","active%1:27:00::","113934131","chemical agent capable of activity","",,"auto"
"actively","?","r","actively_r1","actively%4:02:00::","400080343","in an active manner; ","he participated actively in the war",,"auto"
"activity","nom","n","activity_n1","activity%1:04:00::","100389883","any specific activity; ","they avoided all recreational activity",,"auto"
"adapt","act","v","adapt_v1","adapt%2:30:01::","200290397","make fit for, or change to suit a new purpose; ","Adapt our native cuisine to the available food resources of the new country",,"auto"
"adaptation","nom","n","version_n3","adaptation%1:10:00::","106011074","a written work (as a novel) that has been recast in a new form; ","the play is an adaptation of a short novel",,"auto"
"adapted","state","adj","adapted_s1","adapted%5:00:00:modified:00","301489576","changed in order to improve or made more fit for a particular purpose; ","seeds precisely adapted to the area; instructions altered to suit the children's different ages",,"auto"
"adapting","der","","","","","","",,"auto"
"add","act","v","add_v1","add%2:30:00::","200176022","make an addition (to); join or combine or unite with others; increase the quality, quantity, zise or scope of; ","We added two students to that dorm room; She added a personal note to her letter; Add insult to injury; Add some extra plates to the dinner table",,"auto"
"addition","abs","n","addition_n1","addition%1:06:00::","102587422","a component that is added to something to improve it; ","the addition of a bathroom was a major improvement; the addition of cinammon improved the flavor",,"auto"
"addition","der","n","addition_n1","addition%1:06:00::","102587422","a component that is added to something to improve it; ","the addition of a bathroom was a major improvement; the addition of cinammon improved the flavor",,"auto"
"additional","quality","adj","additional_s1","additional%5:00:00:added:00","300049502","existing or coming by way of addition; ","an additional problem; further information; there will be further delays; took more time",,"auto"
"address","act","n","address_n1","address%1:10:04::","105961859","(computer science) the code that identifies where a piece of information is stored","",,"auto"
"address","loc","n","address_n1","address%1:10:04::","105961859","(computer science) the code that identifies where a piece of information is stored","",,"auto"
"addressed","state","adj","addressed_a1","addressed%3:00:00::","300053918","of mail; marked with a destination; ","I throw away all mail addressed to `resident'",,"auto"
"adjust","act","v","adjust_v1","adjust%2:30:00::","200287086","alter or regulate so as to achieve accuracy or conform to a standard; ","Adjust the clock, please; correct the alignment of the front wheels",,"auto"
"adult","obj","n","adult_n1","adult%1:18:00::","109000461","a fully developed person from maturity onward","",,"auto"
"advantage","abs","n","advantage_n1","advantage%1:07:00::","104865412","the quality of having a superior or more favorable position; ","the experience gave him the advantage over me",,"auto"
"affect","abs","v","affect_v1","affect%2:30:00::","200132263","have an effect upon; ","Will the new rules affect me?",,"auto"
"affect","act","v","affect_v1","affect%2:30:00::","200132263","have an effect upon; ","Will the new rules affect me?",,"auto"
"after","reltemp","r","later_r1","after%4:02:01::","400062236","happening at a time subsequent to a reference time; ","he apologized subsequently; he's going to the store but he'll be back here later; it didn't happen until afterward; two hours after that",,"auto"
"afternoon","time","n","afternoon_n1","afternoon%1:28:00::","114307094","the part of the day between noon and evening; ","he spent a quiet afternoon in the park",,"auto"
"again","?","r","again_r1","again%4:02:00::","400041407","anew; ","she tried again; they rehearsed the scene again",,"auto"
"against","posn","","","","","","",,"auto"
"age","att","n","age_n1","age%1:07:00::","104675601","how long something has existed; ","it was replaced because of its age",,"auto"
"aid","abs","v","help_v1","aid%2:41:00::","202472355","give help or assistance; be of service; ","Everyone helped out during the earthquake; Can you help me carry this table?; She never helps around the house",,"auto"
"aid","act","v","help_v1","aid%2:41:00::","202472355","give help or assistance; be of service; ","Everyone helped out during the earthquake; Can you help me carry this table?; She never helps around the house",,"auto"
"air","subst","n","air_n1","air%1:27:00::","113996249","a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of; ","air pollution; a smell of chemicals in the air; open a window and let in some air; I need some fresh air",,"auto"
"airplane","obj","n","plane_n1","airplane%1:06:00::","102599023","an aircraft that has a fixed wing and is powered by propellers or jets; ","the flight was delayed due to trouble with the airplane",,"auto"
"airplane","trans","n","plane_n1","airplane%1:06:00::","102599023","an aircraft that has a fixed wing and is powered by propellers or jets; ","the flight was delayed due to trouble with the airplane",,"auto"
"alcohol","subst","n","alcohol_n1","alcohol%1:13:00::","107408983","a liquor or brew containing alcohol as the active agent; ","alcohol (or drink) ruined him",,"auto"
"alive","quality","adj","animated_a1","alive%3:00:04::","300124982","having life or vigor or spirit; ","an animated and expressive face; animated conversation; became very animated when he heard the good news",,"auto"
"all","?","r","entirely_r1","all%4:02:00::","400007652","to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'); ","he was wholly convinced; entirely satisfied with the meal; it was completely different from what we expected; was completely at fault; a totally new situation; the directions were all wrong; it was not altogether her fault; an altogether new approach; a whole new idea",,"auto"
"allow","act","v","let_v1","allow%2:41:00::","202350232","make it possible through a specific action or lack of action for something to happen; ","This permits the water to rush in; This sealed door won't allow the water come into the basement; This will permit the rain to run off",,"auto"
"almost","?","r","almost_r1","almost%4:02:00::","400073817","((of actions or states) slightly short of or not quite accomplished; `near' is sometimes used informally for `nearly' and `most' is sometimes used informally for `almost'; ","the job is (just) about done; the baby was almost asleep when the alarm sounded; we're almost finished; the car all but ran her down; he nearly fainted; talked for nigh onto 2 hours; the recording is well-nigh perfect; virtually all the parties signed the contract; I was near exhausted by the run; most ever400073817",,"auto"
"alone","val","r","only_r2","alone%4:02:00::","400008245","without any others being included or involved; ","was entirely to blame; a school devoted entirely to the needs of problem children; he works for Mr. Smith exclusively; did it solely for money; the burden of proof rests on the prosecution alone; a privilege granted only to him",,"auto"
"along","posn","r","on_r1","along%4:02:01::","400069143","with a forward motion; ","we drove along admiring the view; the horse trotted along at a steady pace; the circus traveled on to the next city; move along; march on",,"auto"
"already","reltemp","r","already_r1","already%4:02:00::","400032304","prior to a specified or implied time; ","she has already graduated",,"auto"
"altering","der","n","fixing_n3","altering%1:04:00::","100651113","the sterilization of an animal; ","they took him to the vet for neutering",,"auto"
"alternative","abs","n","alternative_n1","alternative%1:09:00::","105456118","one of a number of things from which only one can be chosen; ","what option did I have?; there no other alternative; my only choice is to refuse",,"auto"
"although","?","r","though_r1","although%4:02:00::","400121141","despite the fact that; ","even though she knew the answer, she did not respond",,"auto"
"always","reltemp","r","always_r1","always%4:02:00::","400019245","at all times; all the time and on every occasion; ","I will always be there to help you; always arrives on time; there is always some pollution in the air; ever hoping to strike it rich; ever busy",,"auto"
"amazon","loc","n","virago_n2","amazon%1:18:02::","109166068","a large strong and aggressive woman","",,"auto"
"amount","abs","n","amount_n1","amount%1:07:00::","104826612","how much of something is available; ","an adequate amount of food for four people",,"auto"
"amphibian","animal","adj","amphibian_a1","amphibian%3:01:00::","302702863","relating to or characteristic of animals of the class Amphibia","",,"auto"
"amphibian","living","adj","amphibian_a1","amphibian%3:01:00::","302702863","relating to or characteristic of animals of the class Amphibia","",,"auto"
"amphibian","obj","adj","amphibian_a1","amphibian%3:01:00::","302702863","relating to or characteristic of animals of the class Amphibia","",,"auto"
"analysis","abs","n","analysis_n1","analysis%1:04:00::","100598625","an investigation of the component parts of a whole and their relations in making up the whole","",,"auto"
"analyze","act","v","study_v1","analyze%2:31:00::","200623929","consider in detail and subject to an analysis in order to discover essential features or meaning; ","analyze a sonnet by Shakespeare; analyze the evidence in a criminal trial; analyze your real motives",,"auto"
"analyzed","state","adj","analyzed_a1","analyzed%3:00:00::","300392078","examined carefully and methodically; broken down for consideration of constituent parts; ","the analyzed data indicated surprising trends; a carefully analyzed poem can be like a dead butterfly pinned to a board",,"auto"
"analyzing","der","","","","","","",,"auto"
"anchor","act","v","anchor_v1","anchor%2:35:01::","201265930","fix firmly and stably; ","anchor the lamppost in concrete",,"auto"
"anchor","obj","v","anchor_v1","anchor%2:35:01::","201265930","fix firmly and stably; ","anchor the lamppost in concrete",,"auto"
"anemometer","obj","n","wind_gage_n1","anemometer%1:06:00::","102617390","a gauge for recording the speed and direction of wind","",,"auto"
"angled","state","adj","angled_s1","angled%5:00:00:angular:00","301980292","forming or set at an angle; ","angled parking",,"auto"
"angled","val","adj","angled_s1","angled%5:00:00:angular:00","301980292","forming or set at an angle; ","angled parking",,"auto"
"animal","animal","n","animal_n1","animal%1:03:00::","100012748","a living organism characterized by voluntary movement","",,"auto"
"animal","living","n","animal_n1","animal%1:03:00::","100012748","a living organism characterized by voluntary movement","",,"auto"
"animal","obj","n","animal_n1","animal%1:03:00::","100012748","a living organism characterized by voluntary movement","",,"auto"
"another","?","","","","","","",,"auto"
"answer","abs","v","answer_v1","answer%2:32:00::","200789361","reply or respond to; ","She didn't want to answer; answer the question; We answered that we would accept the invitation",,"auto"
"answer","act","v","answer_v1","answer%2:32:00::","200789361","reply or respond to; ","She didn't want to answer; answer the question; We answered that we would accept the invitation",,"auto"
"ant","animal","n","ant_n1","ant%1:05:00::","102134375","social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers","",,"auto"
"ant","insect","n","ant_n1","ant%1:05:00::","102134375","social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers","",,"auto"
"ant","living","n","ant_n1","ant%1:05:00::","102134375","social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers","",,"auto"
"ant","obj","n","ant_n1","ant%1:05:00::","102134375","social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers","",,"auto"
"anus","bpart","n","arse_n2","anus%1:08:00::","105221124","excretory opening at the end of the alimentary canal","",,"auto"
"anus","obj","n","arse_n2","anus%1:08:00::","105221124","excretory opening at the end of the alimentary canal","",,"auto"
"any","?","r","any_r1","any%4:02:00::","400024554","to any degree or extent; ","it isn't any better",,"auto"
"anything","?","n","anything_n1","anything%1:03:00::","100002342","a thing of any kind; ","do you have anything to declare?",,"auto"
"anytime","reltemp","","","","","","",,"auto"
"apart","posn","r","apart_r1","apart%4:02:03::","400183329","separated or at a distance in place or position or time; ","These towns are many miles apart; stood with his legs apart; born two years apart",,"auto"
"apparent","val","adj","evident_s1","apparent%5:00:00:obvious:00","301568015","clearly apparent or obvious to the mind or senses; ","the effects of the drought are apparent to anyone who sees the parched fields; evident hostility; manifest disapproval; patent advantages; made his meaning plain; it is plain that he is no reactionary; in plain view",,"auto"
"appear","act","v","seem_v1","appear%2:39:00::","202071636","give a certain impression or have a certain outward aspect; ","She seems to be sleeping; This appears to be a very difficult problem; This project looks fishy; They appeared like people who had not eaten or slept for a long time",,"auto"
"appearance","abs","n","appearance_n1","appearance%1:07:00::","104481540","outward or visible aspect of a person or thing","",,"auto"
"appears","der","","","","","","",,"auto"
"appendix","abs","n","appendix_n1","appendix%1:10:00::","106002318","supplementary material that is collected and appended at the back of a book","",,"auto"
"appendix","bpart","n","appendix_n1","appendix%1:10:00::","106002318","supplementary material that is collected and appended at the back of a book","",,"auto"
"appendix","obj","n","appendix_n1","appendix%1:10:00::","106002318","supplementary material that is collected and appended at the back of a book","",,"auto"
"apple","plant","n","apple_n1","apple%1:13:00::","107267116","fruit with red or yellow or green skin and sweet to tart crisp whitish flesh","",,"auto"
"appliance","obj","n","gadget_n1","appliance%1:06:01::","102635826","a device that is very useful for a particular job","",,"auto"
"application","abs","n","application_n1","application%1:10:00::","106110398","a verbal or written request for assistance or employment or admission to a school; ","December 31 is the deadline for applications",,"auto"
"application","nom","n","application_n1","application%1:10:00::","106110398","a verbal or written request for assistance or employment or admission to a school; ","December 31 is the deadline for applications",,"auto"
"applied","der","adj","applied_a1","applied%3:44:00::","302975708","that are used; ","an isotropic resonance shift...to lower applied fields",,"auto"
"apply","act","v","use_v1","apply%2:34:00::","201123102","put into service; make work or employ (something) for a particular purpose or for its inherent or natural purpose; ","use your head!; we only use Spanish at home; I can't make use of this tool; Apply a magnetic field here; This thinking was applied to many projects; How do you utilize this tool?; I apply this rule to get good results; use the plastic bags to store the food; He doesn't know how to use a computer",,"auto"
"applying","der","","","","","","",,"auto"
"appreciation","nom","n","appreciation_n1","appreciation%1:09:00::","105470957","understanding of the nature or meaning or quality or magnitude of something; ","he has a good grasp of accounting practices",,"auto"
"approach","abs","v","approach_v1","approach%2:38:00::","201995535","move towards; ","We were approaching our destination; They are drawing near; The enemy army came nearer and nearer",,"auto"
"approach","act","v","approach_v1","approach%2:38:00::","201995535","move towards; ","We were approaching our destination; They are drawing near; The enemy army came nearer and nearer",,"auto"
"appropriate","act","adj","appropriate_a1","appropriate%3:00:00::","300139974","suitable for a particular person or place or condition etc; ","a book not appropriate for children; a funeral conducted the appropriate solemnity; it seems that an apology is appropriate",,"auto"
"appropriate","val","adj","appropriate_a1","appropriate%3:00:00::","300139974","suitable for a particular person or place or condition etc; ","a book not appropriate for children; a funeral conducted the appropriate solemnity; it seems that an apology is appropriate",,"auto"
"appropriately","adv","r","suitably_r1","appropriately%4:02:00::","400141436","in an appropriate manner; ","he was appropriately dressed",,"auto"
"approximately","adv","r","about_r1","approximately%4:02:00::","400006660","(of quantities) imprecise but fairly close to correct; ","lasted approximately an hour; in just about a minute; he's about 30 years old; I've had about all I can stand; we meet about once a month; some forty people came; weighs around a hundred pounds; roughly $3,000; holds 3 gallons, more or less; 20 or so people were at the party",,"auto"
"apron","obj","n","apron_n1","apron%1:06:00::","102636744","a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing","",,"auto"
"arctic","loc","adj","arctic_a2","arctic%3:01:00::","302770523","of or relating to the Arctic; ","Arctic circle",,"auto"
"arctic","quality","adj","arctic_a2","arctic%3:01:00::","302770523","of or relating to the Arctic; ","Arctic circle",,"auto"
